"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"Street","Beach Road","RETAIL","AN QI SPA","275 BEACH ROAD #01-02 SINGAPORE 199549"
"Street","Syed Alwi Road","RESTAURANT","ANANDA BHAVAN","95 SYED ALWI ROAD SINGAPORE 207670"
"Street","Neil Road","RETAIL","ANATTA","130 NEIL ROAD SINGAPORE 088859"
"Street","East Coast Road","RETAIL","ANATTA","914 EAST COAST ROAD #01-02 SINGAPORE 459108"
"In-Mall & Building","IMM Building","RESTAURANT","ANDES","2 JURONG EAST STREET 21 #01-19 SINGAPORE 609601"
"Street","Arab Street","RETAIL","ANGEL EXCLUSIVE ","117 ARAB STREET SINGAPORE 199812"
"Street","Tan Quee Lan Street","RETAIL","ANGELSKY8 ","9 TAN QUEE LAN STREET #01-02 SINGAPORE 188098"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","ANGIE'S HANDMADE FASHION","211 HOLLAND AVENUE #02-14B SINGAPORE 278967"
"In-Mall & Building","Chijmes","RESTAURANT","ANGLO INDIAN CAFE & BAR","30 VICTORIA STREET #01-13 SINGAPORE 187996"
"In-Mall & Building","Westgate","RESTAURANT","ANJAPPAR INDIAN RESTAURANT","3 GATEWAY DRIVE #04-08 SINGAPORE 608532"
"In-Mall & Building","Raffles Xchange","RESTAURANT","ANNA'S","5 RAFFLES PLACE #B1-64 SINGAPORE 048616"
"Street","North Bridge Road","RETAIL","ANOTHER FLY STORY","465 NORTH BRIDGE ROAD #02-5047 SINGAPORE 191465"
"In-Mall & Building","Bugis Junction","RETAIL","ANOTHERSOLE","200 VICTORIA STREET #02-18C SINGAPORE 188021"
"In-Mall & Building","Hong Leong Building","SERVICES","ANSON TAILOR","16 RAFFLES QUAY #B1-01 SINGAPORE 048581"
"In-Mall & Building","Hong Leong Building","SERVICES","ANSON TAILORS","16 RAFFLES QUAY #14-04 SINGAPORE 048581"
"In-Mall & Building","Plaza Singapura","RETAIL","ANTA","68 ORCHARD ROAD #02-09 SINGAPORE 238839"
"In-Mall & Building","Junction 8","RETAIL","ANTA","9 BISHAN PLACE #01-06-09 SINGAPORE 579837"
"In-Mall & Building","Westgate","RETAIL","ANTA","3 GATEWAY DRIVE #01-29 SINGAPORE 608532"
"In-Mall & Building","IMM Building","RETAIL","ANTA","2 JURONG EAST ST 21 #02-09 SINGAPORE 609601"
"In-Mall & Building","IMM Building","RETAIL","ANTA KIDS","2 JURONG EAST ST 21 #02-22 SINGAPORE 609601"
"Street","Jiak Chuan Road","RESTAURANT","ANTO - PIZZA E APERITIVI","2 JIAK CHUAN ROAD SINGAPORE 089260"
"In-Mall & Building","International Plaza","RESTAURANT","ANYI NOODLES","10 ANSON ROAD #01-37 SINGAPORE 079903"
"In-Mall & Building","One Raffles Place","RETAIL","AO3 BY AVENUE ON 3","1 RAFFLES PLACE #B1-27 SINGAPORE 048616"
"In-Mall & Building","West Mall","RESTAURANT","A-ONE SIGNATURE","1 BUKIT BATOK CENTRAL LINK #01-38 SINGAPORE 658713"
"In-Mall & Building","Northpoint City","RESTAURANT","A-ONE SIGNATURE","1 NORTHPOINT DRIVE #01-128 SINGAPORE 768019"
"In-Mall & Building","Bugis Cube","RETAIL","APEX COSMECEUTICAL CENTRE","470 NORTH BRIDGE ROAD #05-06 SINGAPORE 188735"
"Street","Neil Road","RESTAURANT","ARAYA CONCEPTS ","83 NEIL ROAD #01-08 SINGAPORE 089813"
"In-Mall & Building","The Arcade","RETAIL","ARCADE FLORIST AND TRADING CO","11 COLLYER QUAY #02-29 SINGAPORE 049317"
"Street","Neil Road","RESTAURANT","ARC-EN-CIEL PATISSERIE","37A NEIL ROAD SINGAPORE 088822"
"In-Mall & Building","Westgate","RETAIL","ARCH ANGEL","3 GATEWAY DRIVE #02-39 SINGAPORE 608532"
"In-Mall & Building","Tampines Mall","RETAIL","ARENA","4 TAMPINES CENTRAL 5 #02-11 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","ARENA","23 SERANGOON CENTRAL #02-38 SINGAPORE 556083"
"Street","Arab Street","RETAIL","ARIA CARPETS ","100 ARAB STREET SINGAPORE 199796"
"In-Mall & Building","The Sail - Marina Bay","RESTAURANT","AROI MAK","6 MARINA BOULEVARD #01-16 SINGAPORE 018985"
"Street","Cecil Street","RESTAURANT","AROMA COFFEE ","182 CECIL STREET #01-04 SINGAPORE 069547"
"In-Mall & Building","Plaza Singapura","RETAIL","ART FRIEND","68 ORCHARD ROAD #B1-10/13 SINGAPORE 238839"
"Street","Lorong Mambong","RETAIL","ART NOISE JAPANESE BEAUTY HAIR SALON","38A LORONG MAMBONG SINGAPORE 277694"
"In-Mall & Building","Plaza Singapura","RESTAURANT","ARTEASTIQ DEPATIO","68 ORCHARD ROAD #03-70/72 SINGAPORE 238839"
"Street","Club Street","RETAIL","ARVO FACE SOUL CARE","58 CLUB STREET SINGAPORE 069433"
"In-Mall & Building","Bedok Mall","RETAIL","ASH BEAUTY WELLNESS","311 NEW UPPER CHANGI ROAD #B1-46 SINGAPORE 467360"
"In-Mall & Building","IMM Building","RETAIL","ASIA EXCEL","2 JURONG EAST STREET 21 #03-12 SINGAPORE 609601"
"In-Mall & Building","Bugis Junction","RETAIL","ASICS","200 VICTORIA STREET #01-53/53A/54/54A SINGAPORE 188021"
"In-Mall & Building","Plaza Singapura","RETAIL","ASICS","68 ORCHARD ROAD #02-04 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","ASICS","80 MARINE PARADE ROAD #01-49/50/51/52 SINGAPORE 449269"
"In-Mall & Building","NEX","RETAIL","ASICS","23 SERANGOON CENTRAL #01-09 SINGAPORE 556083"
"In-Mall & Building","Westgate","RETAIL","ASICS","3 GATEWAY DRIVE #01-40 SINGAPORE 608532"
"In-Mall & Building","IMM Building","RETAIL","ASICS","2 JURONG EAST ST 21 #02-#02 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RETAIL","ASLOWE JEWELLERY","1 NORTHPOINT DRIVE #01-22 SINGAPORE 769098"
"In-Mall & Building","Plaza Singapura","RETAIL","ASTALIFT","68 ORCHARD ROAD #01-62 SINGAPORE 238839"
"In-Mall & Building","Plaza Singapura","RETAIL","ASTERSPRING","68 ORCHARD ROAD #03-10 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","ASTERSPRING","80 MARINE PARADE ROAD #02-65/66 SINGAPORE 449269"
"In-Mall & Building","NEX","RETAIL","ASTERSPRING","23 SERANGOON CENTRAL #04-24 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RETAIL","ASTERSPRING","1 NORTHPOINT DRIVE #B1-175 SINGAPORE 768019"
"Street","Joo Chiat Road","RESTAURANT","ASTONS PRIME","357/359 JOO CHIAT ROAD SINGAPORE 427604"
"In-Mall & Building","Bugis+","RESTAURANT","ASTONS SPECIALITIES","201 VICTORIA STREET #05-08/09A SINGAPORE 188067"
"In-Mall & Building","Westgate","RESTAURANT","ASTONS SPECIALITIES","3 GATEWAY DRIVE #04-04/05 SINGAPORE 608532"
